epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9518,0.96805,1.68192,0.87891,0.94249,0.97401,0.99109,0.75204,0.52776,0.48073,0.78398,0.000409226,0.000409226,0.000409226
2,19.8398,0.74341,0.55394,0.82945,0.9966,1,0.995,0.76273,0.54965,0.36356,0.78643,0.000817717,0.000817717,0.000817717
3,27.5348,0.74321,0.52955,0.83195,0.99653,1,0.995,0.78901,0.55479,0.37692,0.7866,0.00121796,0.00121796,0.00121796
4,35.2418,0.68516,0.44786,0.81301,0.99433,1,0.995,0.78779,0.48972,0.34115,0.77406,0.00121287,0.00121287,0.00121287
5,42.9666,0.66958,0.4172,0.81116,0.99276,1,0.995,0.81532,0.49105,0.32773,0.7766,0.0012005,0.0012005,0.0012005
6,50.6286,0.67675,0.41091,0.81484,0.99614,1,0.995,0.79281,0.43508,0.32035,0.76926,0.00118812,0.00118812,0.00118812
7,58.2521,0.63741,0.39649,0.81161,0.99549,1,0.995,0.81793,0.478,0.3161,0.77519,0.00117575,0.00117575,0.00117575
8,66.1422,0.59983,0.37361,0.80542,0.99776,1,0.995,0.84347,0.42805,0.28202,0.76678,0.00116337,0.00116337,0.00116337
9,74.3646,0.58308,0.37152,0.79808,0.99801,1,0.995,0.86313,0.41848,0.27156,0.76339,0.001151,0.001151,0.001151
10,82.6276,0.60073,0.36378,0.80472,0.99774,1,0.995,0.83308,0.46528,0.27782,0.76769,0.00113863,0.00113863,0.00113863
11,90.2483,0.61739,0.36887,0.80454,0.99748,1,0.995,0.8486,0.45084,0.28641,0.77213,0.00112625,0.00112625,0.00112625
12,97.8709,0.55585,0.35501,0.79989,0.99706,1,0.995,0.85643,0.46878,0.31543,0.76655,0.00111388,0.00111388,0.00111388
13,105.49,0.58966,0.36499,0.80385,0.9977,1,0.995,0.87103,0.44509,0.26909,0.76861,0.0011015,0.0011015,0.0011015
14,113.23,0.55432,0.342,0.79874,0.99717,1,0.995,0.86521,0.40943,0.28139,0.75951,0.00108913,0.00108913,0.00108913
15,120.772,0.55981,0.34257,0.80288,0.99775,1,0.995,0.84139,0.4404,0.28432,0.76523,0.00107675,0.00107675,0.00107675
16,128.433,0.56389,0.34175,0.79065,0.99736,1,0.995,0.88108,0.3867,0.25994,0.75494,0.00106437,0.00106437,0.00106437
17,136.22,0.56039,0.34447,0.79831,0.99696,1,0.995,0.85139,0.41401,0.26136,0.76139,0.001052,0.001052,0.001052
18,144.088,0.55353,0.34222,0.7973,0.99644,1,0.995,0.88074,0.39096,0.28472,0.75595,0.00103962,0.00103962,0.00103962
19,151.774,0.53951,0.33134,0.79396,0.99672,1,0.995,0.87446,0.39061,0.27713,0.76051,0.00102725,0.00102725,0.00102725
20,159.493,0.52234,0.32458,0.79718,0.99785,1,0.995,0.8984,0.36831,0.26905,0.75809,0.00101488,0.00101488,0.00101488
21,167.082,0.53203,0.32951,0.79126,0.99797,1,0.995,0.86015,0.41324,0.27592,0.76193,0.0010025,0.0010025,0.0010025
22,174.615,0.54105,0.32924,0.79936,0.99833,1,0.995,0.87083,0.4275,0.25739,0.76494,0.000990125,0.000990125,0.000990125
23,182.274,0.5256,0.31842,0.79204,0.99821,1,0.995,0.88234,0.39783,0.27334,0.76021,0.00097775,0.00097775,0.00097775
24,189.961,0.52184,0.31727,0.78916,0.9984,1,0.995,0.88895,0.37838,0.26065,0.7584,0.000965375,0.000965375,0.000965375
25,197.648,0.5245,0.31952,0.79311,0.99659,1,0.995,0.88607,0.42126,0.27508,0.76035,0.000953,0.000953,0.000953
26,205.625,0.52083,0.31597,0.79464,0.99811,1,0.995,0.88243,0.41311,0.26337,0.75807,0.000940625,0.000940625,0.000940625
27,213.566,0.5,0.30879,0.79123,0.99783,1,0.995,0.87485,0.36886,0.25353,0.75544,0.00092825,0.00092825,0.00092825
28,221.204,0.49316,0.30482,0.78892,0.9967,1,0.995,0.87302,0.38429,0.24899,0.75455,0.000915875,0.000915875,0.000915875
29,228.81,0.5166,0.31306,0.79067,0.99798,1,0.995,0.87146,0.41134,0.25177,0.75833,0.0009035,0.0009035,0.0009035
30,236.394,0.51234,0.30817,0.79212,0.99609,1,0.995,0.89403,0.37243,0.2527,0.75953,0.000891125,0.000891125,0.000891125
31,244.248,0.49392,0.30415,0.78968,0.99802,1,0.995,0.88611,0.37851,0.25084,0.75441,0.00087875,0.00087875,0.00087875
32,252.209,0.51218,0.30712,0.79595,0.99764,1,0.995,0.86612,0.40417,0.2689,0.75896,0.000866375,0.000866375,0.000866375
33,259.813,0.48476,0.29722,0.78924,0.99209,1,0.995,0.8734,0.40862,0.25525,0.75849,0.000854,0.000854,0.000854
34,269.788,0.48875,0.28814,0.78583,0.99671,1,0.995,0.89608,0.38484,0.23614,0.75385,0.000841625,0.000841625,0.000841625
35,277.407,0.48444,0.28899,0.78703,0.99672,1,0.995,0.89383,0.38822,0.22997,0.75594,0.00082925,0.00082925,0.00082925
36,284.87,0.49347,0.29675,0.78834,0.99738,1,0.995,0.86884,0.41447,0.24704,0.75939,0.000816875,0.000816875,0.000816875
37,292.419,0.49238,0.28993,0.78759,0.99789,1,0.995,0.89298,0.38441,0.24435,0.76024,0.0008045,0.0008045,0.0008045
38,299.917,0.47421,0.29451,0.78278,0.99793,1,0.995,0.88597,0.37821,0.23892,0.75549,0.000792125,0.000792125,0.000792125
39,307.507,0.4875,0.29221,0.7885,0.99814,1,0.995,0.87375,0.38514,0.25111,0.75784,0.00077975,0.00077975,0.00077975
40,315.122,0.47819,0.28573,0.79087,0.99622,1,0.995,0.87932,0.39492,0.24931,0.75771,0.000767375,0.000767375,0.000767375
41,322.649,0.48583,0.29099,0.7885,0.99783,1,0.995,0.87062,0.35627,0.23134,0.75333,0.000755,0.000755,0.000755
42,330.257,0.46078,0.27668,0.78974,0.99829,1,0.995,0.90149,0.38824,0.23533,0.75773,0.000742625,0.000742625,0.000742625
43,337.744,0.46781,0.28231,0.79027,0.99726,1,0.995,0.90554,0.38295,0.23272,0.75917,0.00073025,0.00073025,0.00073025
44,345.307,0.46685,0.27272,0.78726,0.99724,1,0.995,0.89046,0.37661,0.22851,0.75667,0.000717875,0.000717875,0.000717875
45,352.81,0.46891,0.27522,0.7875,0.99745,1,0.995,0.8884,0.38201,0.23738,0.75499,0.0007055,0.0007055,0.0007055
46,360.27,0.46539,0.27892,0.78309,0.99797,1,0.995,0.89769,0.38747,0.23185,0.75658,0.000693125,0.000693125,0.000693125
47,367.785,0.45056,0.27236,0.78408,0.99711,1,0.995,0.89207,0.37601,0.2309,0.75251,0.00068075,0.00068075,0.00068075
48,375.355,0.45439,0.2747,0.78195,0.99762,1,0.995,0.88208,0.36601,0.23228,0.75438,0.000668375,0.000668375,0.000668375
49,382.924,0.45185,0.27073,0.78296,0.99798,1,0.995,0.8944,0.34239,0.22696,0.75159,0.000656,0.000656,0.000656
50,390.504,0.45393,0.27385,0.78347,0.99815,1,0.995,0.89457,0.35774,0.22201,0.75428,0.000643625,0.000643625,0.000643625
51,398.059,0.43874,0.26411,0.7855,0.99784,1,0.995,0.86084,0.35396,0.21861,0.75217,0.00063125,0.00063125,0.00063125
52,405.521,0.44627,0.26553,0.78694,0.99818,1,0.995,0.87994,0.3615,0.22106,0.75084,0.000618875,0.000618875,0.000618875
53,413.063,0.44398,0.26393,0.78876,0.99759,1,0.995,0.89799,0.34328,0.21541,0.75026,0.0006065,0.0006065,0.0006065
54,420.552,0.44722,0.26522,0.78407,0.99802,1,0.995,0.89451,0.37682,0.21997,0.75272,0.000594125,0.000594125,0.000594125
55,428.018,0.45674,0.26958,0.78708,0.99821,1,0.995,0.89016,0.36374,0.21834,0.75261,0.00058175,0.00058175,0.00058175
56,435.458,0.43726,0.25644,0.78742,0.99873,1,0.995,0.89447,0.36896,0.21805,0.75173,0.000569375,0.000569375,0.000569375
57,443.038,0.43806,0.2578,0.78635,0.99818,1,0.995,0.88383,0.37871,0.22542,0.75425,0.000557,0.000557,0.000557
58,450.497,0.44374,0.25724,0.78552,0.99816,1,0.995,0.87317,0.38028,0.22563,0.75386,0.000544625,0.000544625,0.000544625
59,458.039,0.42922,0.25338,0.78389,0.9982,1,0.995,0.87069,0.36832,0.21669,0.75246,0.00053225,0.00053225,0.00053225
60,466.025,0.42493,0.25625,0.78325,0.99803,1,0.995,0.89034,0.36415,0.22136,0.74967,0.000519875,0.000519875,0.000519875
61,473.6,0.43056,0.25509,0.77832,0.99816,1,0.995,0.90023,0.36171,0.21121,0.75125,0.0005075,0.0005075,0.0005075
62,481.188,0.42493,0.24758,0.78308,0.99788,1,0.995,0.897,0.36416,0.20788,0.7513,0.000495125,0.000495125,0.000495125
63,488.766,0.42942,0.25306,0.77979,0.99832,1,0.995,0.90877,0.3331,0.21584,0.74948,0.00048275,0.00048275,0.00048275
64,496.48,0.42349,0.24775,0.78356,0.99794,1,0.995,0.90519,0.34933,0.21346,0.75228,0.000470375,0.000470375,0.000470375
65,504.23,0.41953,0.24314,0.7826,0.99776,1,0.995,0.89593,0.35542,0.22127,0.75226,0.000458,0.000458,0.000458
66,512.037,0.42681,0.24935,0.78573,0.99793,1,0.995,0.89597,0.35806,0.20655,0.75264,0.000445625,0.000445625,0.000445625
67,519.695,0.41988,0.24564,0.77984,0.99803,1,0.995,0.88597,0.36199,0.21088,0.75373,0.00043325,0.00043325,0.00043325
68,527.396,0.42103,0.24762,0.77965,0.99835,1,0.995,0.88875,0.37256,0.21531,0.75352,0.000420875,0.000420875,0.000420875
69,535.088,0.413,0.24184,0.78061,0.99805,1,0.995,0.90102,0.36549,0.20917,0.75207,0.0004085,0.0004085,0.0004085
70,542.679,0.41705,0.24316,0.78077,0.99809,1,0.995,0.90209,0.35357,0.21035,0.74929,0.000396125,0.000396125,0.000396125
71,550.297,0.4154,0.24135,0.77563,0.99809,1,0.995,0.90173,0.35399,0.20896,0.7498,0.00038375,0.00038375,0.00038375
72,557.841,0.39828,0.23505,0.78015,0.99795,1,0.995,0.88535,0.35377,0.20831,0.74998,0.000371375,0.000371375,0.000371375
73,565.584,0.41513,0.23884,0.78005,0.99762,1,0.995,0.88356,0.37723,0.20678,0.75216,0.000359,0.000359,0.000359
74,573.259,0.39674,0.23312,0.78405,0.99815,1,0.995,0.88593,0.36238,0.20673,0.75237,0.000346625,0.000346625,0.000346625
75,580.843,0.39902,0.22904,0.77925,0.99825,1,0.995,0.87958,0.36826,0.20531,0.75103,0.00033425,0.00033425,0.00033425
76,588.448,0.4021,0.23114,0.78149,0.99822,1,0.995,0.89407,0.3633,0.20086,0.75136,0.000321875,0.000321875,0.000321875
77,596.074,0.40124,0.23303,0.77639,0.99823,1,0.995,0.8827,0.3672,0.19836,0.75255,0.0003095,0.0003095,0.0003095
78,603.732,0.40783,0.23345,0.78254,0.99797,1,0.995,0.90468,0.35429,0.20761,0.74996,0.000297125,0.000297125,0.000297125
79,611.446,0.40474,0.22993,0.78645,0.99816,1,0.995,0.90581,0.34454,0.20907,0.75055,0.00028475,0.00028475,0.00028475
80,619.216,0.39146,0.22783,0.77731,0.99803,1,0.995,0.89301,0.35313,0.19419,0.75153,0.000272375,0.000272375,0.000272375
81,626.75,0.39341,0.22837,0.77929,0.99816,1,0.995,0.89102,0.35408,0.20258,0.75035,0.00026,0.00026,0.00026
82,634.449,0.39674,0.22973,0.77771,0.99817,1,0.995,0.88915,0.38442,0.20504,0.75434,0.000247625,0.000247625,0.000247625
83,642.065,0.39292,0.22559,0.77919,0.99802,1,0.995,0.89482,0.37697,0.20546,0.75058,0.00023525,0.00023525,0.00023525
84,649.679,0.39412,0.22789,0.77874,0.99829,1,0.995,0.88237,0.35797,0.1986,0.74977,0.000222875,0.000222875,0.000222875
85,657.257,0.40017,0.22754,0.78227,0.9978,1,0.995,0.887,0.3642,0.19913,0.75054,0.0002105,0.0002105,0.0002105
86,664.891,0.38403,0.22181,0.77824,0.99779,1,0.995,0.88936,0.36829,0.20816,0.75088,0.000198125,0.000198125,0.000198125
87,672.432,0.39401,0.22103,0.78516,0.99787,1,0.995,0.89142,0.35428,0.20027,0.75046,0.00018575,0.00018575,0.00018575
88,680.011,0.38362,0.22,0.7832,0.99822,1,0.995,0.89271,0.34255,0.19393,0.74879,0.000173375,0.000173375,0.000173375
89,687.748,0.36697,0.2126,0.78538,0.99826,1,0.995,0.90522,0.35642,0.19521,0.74927,0.000161,0.000161,0.000161
90,695.722,0.37052,0.21311,0.78033,0.99824,1,0.995,0.90189,0.35466,0.19432,0.75008,0.000148625,0.000148625,0.000148625
91,731.545,0.3664,0.21394,0.77926,0.99783,1,0.995,0.89819,0.34611,0.19386,0.74866,0.00013625,0.00013625,0.00013625
92,739.023,0.36114,0.20873,0.77335,0.998,1,0.995,0.89002,0.34184,0.19684,0.7487,0.000123875,0.000123875,0.000123875
93,746.711,0.35865,0.20436,0.77427,0.99801,1,0.995,0.90114,0.35455,0.19967,0.74917,0.0001115,0.0001115,0.0001115
94,754.406,0.36619,0.20778,0.77715,0.99797,1,0.995,0.89479,0.34425,0.19435,0.7494,9.9125e-05,9.9125e-05,9.9125e-05
95,761.821,0.36143,0.20782,0.76967,0.99815,1,0.995,0.89065,0.36728,0.20037,0.75072,8.675e-05,8.675e-05,8.675e-05
96,769.742,0.35574,0.20376,0.77421,0.99823,1,0.995,0.90927,0.3382,0.18958,0.74814,7.4375e-05,7.4375e-05,7.4375e-05
97,777.198,0.35439,0.20251,0.78005,0.99828,1,0.995,0.90091,0.35557,0.19499,0.75002,6.2e-05,6.2e-05,6.2e-05
98,787.229,0.35158,0.20406,0.77737,0.99824,1,0.995,0.90431,0.34663,0.18689,0.74973,4.9625e-05,4.9625e-05,4.9625e-05
99,794.665,0.35063,0.19774,0.77465,0.99823,1,0.995,0.90976,0.34816,0.18736,0.74949,3.725e-05,3.725e-05,3.725e-05
100,802.211,0.34425,0.19852,0.77257,0.9981,1,0.995,0.90695,0.34433,0.18655,0.74923,2.4875e-05,2.4875e-05,2.4875e-05
